day,hour,time,time_h,open,open_h,setup,aosetup,telsetup,offsets,wfs,mode,magnitude
20171223,12:55:35,1010,0.280555555556,23,0.00638888888889,986,291,695,0,LBTI,FLAOAO,2.40000009537
20171226,04:34:34,1330,0.369444444444,691,0.191944444444,638,278,360,0,FLAO,FLAOAO,10.6000003815
20171226,04:56:51,1772,0.492222222222,1228,0.341111111111,544,267,276,0,FLAO,FLAOAO,13.1000003815
20171229,11:33:30,8002,2.22277777778,5661,1.5725,746,552,194,1594,FLAO,FLAOTT,11.3599996567
20171230,06:32:08,778,0.216111111111,77,0.0213888888889,701,489,212,0,FLAO,FLAOAO,15.4899997711
20171230,06:45:11,11621,3.22805555556,9690,2.69166666667,285,250,34,1645,FLAO,FLAOAO,15.4899997711
20171230,09:58:57,3799,1.05527777778,2581,0.716944444444,907,541,365,311,FLAO,FLAOAO,15.5600004196
20171230,11:02:22,1217,0.338055555556,923,0.256388888889,276,214,61,17,FLAO,FLAOAO,14.6099996567
20171230,11:22:43,1017,0.2825,452,0.125555555556,565,466,98,0,FLAO,FLAOAO,14.9399995804
20171230,11:39:45,2230,0.619444444444,1612,0.447777777778,402,303,99,215,FLAO,FLAOAO,15.5600004196
20171230,12:17:00,2542,0.706111111111,1984,0.551111111111,297,226,71,260,FLAO,FLAOAO,14.4600000381
20171230,12:59:30,2451,0.680833333333,1857,0.515833333333,313,255,57,280,FLAO,FLAOAO,14.6099996567
20171231,01:07:47,7968,2.21333333333,6510,1.80833333333,389,373,15,1069,FLAO,FLAOAO,10.5699996948
20171231,07:11:34,11874,3.29833333333,9546,2.65166666667,671,461,209,1656,FLAO,FLAOAO,15.4899997711
20171231,10:32:36,5766,1.60166666667,4286,1.19055555556,573,392,181,906,FLAO,FLAOTT,15.5600004196
20171231,12:08:47,2884,0.801111111111,1891,0.525277777778,528,242,285,464,FLAO,FLAOTT,11.3599996567
20171231,13:16:01,1940,0.538888888889,1164,0.323333333333,451,301,150,324,FLAO,FLAOTT,11.3599996567
20180102,04:26:09,1906,0.529444444444,1370,0.380555555556,464,317,147,70,FLAO,FLAOAO,14.8999996185
20180102,04:58:00,5073,1.40916666667,4077,1.1325,457,320,136,538,FLAO,FLAOAO,14.8999996185
20180103,01:06:26,2402,0.667222222222,1915,0.531944444444,316,316,0,169,FLAO,FLAOAO,8.56999969482
20180103,01:46:34,2094,0.581666666667,1331,0.369722222222,727,251,475,36,FLAO,FLAOAO,8.56999969482
20180105,01:18:35,3630,1.00833333333,3134,0.870555555556,401,98,303,94,LBTI,FLAOAO,4.90000009537
20180105,02:20:13,6048,1.68,5561,1.54472222222,284,96,188,202,LBTI,FLAOAO,3.5
20180105,04:08:26,1279,0.355277777778,1082,0.300555555556,135,85,49,61,LBTI,FLAOAO,3.59999990463
20180105,04:35:16,919,0.255277777778,697,0.193611111111,162,110,52,59,LBTI,FLAOAO,3.59999990463
20180105,04:57:53,1182,0.328333333333,223,0.0619444444444,948,111,837,10,LBTI,FLAOAO,5.59999990463
20180105,05:23:24,826,0.229444444444,389,0.108055555556,299,69,229,137,LBTI,FLAOAO,4.90000009537
20180105,05:38:25,3719,1.03305555556,3430,0.952777777778,186,72,113,102,LBTI,FLAOAO,4.90000009537
20180105,06:41:47,1279,0.355277777778,1112,0.308888888889,141,85,55,25,LBTI,FLAOAO,5.0
20180105,07:03:46,2052,0.57,1795,0.498611111111,237,87,149,20,LBTI,FLAOAO,4.5
20180105,08:45:52,895,0.248611111111,-265,-0.0736111111111,612,75,537,547,LBTI,FLAOAO,8.0
20180105,09:00:52,2509,0.696944444444,2383,0.661944444444,126,84,41,0,LBTI,FLAOAO,8.0
20180105,09:52:44,970,0.269444444444,235,0.0652777777778,672,124,547,62,LBTI,FLAOAO,14.3199996948
